Symbol,Series,ISIN Code
GODREJCP,EQ,INE102D01028
GODREJIND,EQ,INE233A01035
GODREJPROP,EQ,INE484J01027
GRANULES,EQ,INE101D01020
GRAPHITE,EQ,INE371A01025
GRASIM,EQ,INE047A01021
GESHIP,EQ,INE017A01032
GREENPANEL,EQ,INE08ZM01014
GRINDWELL,EQ,INE536A01023
GUJALKALI,EQ,INE186A01019
GAEL,EQ,INE036B01030
FLUOROCHEM,EQ,INE09N301011
GUJGASLTD,EQ,INE844O01030
GNFC,EQ,INE113A01013
GPPL,EQ,INE517F01014
GSFC,EQ,INE026A01025
GSPL,EQ,INE246F01010
HEG,EQ,INE545A01016
HCLTECH,EQ,INE860A01027
HDFCAMC,EQ,INE127D01025
HDFCBANK,EQ,INE040A01034
HDFCLIFE,EQ,INE795G01014
HFCL,EQ,INE548A01028
HLEGLAS,EQ,INE461D01028
HAPPSTMNDS,EQ,INE419U01012
HAVELLS,EQ,INE176B01034
HEROMOTOCO,EQ,INE158A01026
HIKAL,EQ,INE475B01022
HINDALCO,EQ,INE038A01020
HGS,EQ,INE170I01016
HAL,EQ,INE066F01012
HINDCOPPER,EQ,INE531E01026
HINDPETRO,EQ,INE094A01015
HINDUNILVR,EQ,INE030A01027
HINDZINC,EQ,INE267A01025
POWERINDIA,EQ,INE07Y701011
HOMEFIRST,EQ,INE481N01025
HONAUT,EQ,INE671A01010
HUDCO,EQ,INE031A01017
HDFC,EQ,INE001A01036
ICICIBANK,EQ,INE090A01021
ICICIGI,EQ,INE765G01017
ICICIPRULI,EQ,INE726G01019
ISEC,EQ,INE763G01038
IDBI,EQ,INE008A01015
IDFCFIRSTB,EQ,INE092T01019
IDFC,EQ,INE043D01016
IFBIND,EQ,INE559A01017
IIFL,EQ,INE530B01024
IRB,EQ,INE821I01022
ITC,EQ,INE154A01025
ITI,EQ,INE248A01017
INDIACEM,EQ,INE383A01012
IBULHSGFIN,EQ,INE148I01020
IBREALEST,EQ,INE069I01010
INDIAMART,EQ,INE933S01016
INDIANB,EQ,INE562A01011
IEX,EQ,INE022Q01020
INDHOTEL,EQ,INE053A01029
IOC,EQ,INE242A01010
IOB,EQ,INE565A01014
